"asset_id","source_id","source_path","source_size","source_mtime_ns","source_fps","source_time_seconds","source_end_seconds","source_frame","width","kind","precision","candidate_ids","bit_ids","tags","path","sha256","status","notes"
"legacy_quality_B10b","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","2846.490","2932.450","","","range_frame","source_range","","B10","기존 품질검증","outputs/06_analysis/source_assets/backrooms_20260630/legacy/quality_v4/B10b.png","146afb8775efd29f4600cb5d9ab6e02d9d291f98cee669dfa6a88731de1eddf7","current","v4에서 이관"
"legacy_quality_hook_current","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","2182.000","2205.100","","","range_frame","source_range","C09","HOOK","기존 훅 품질검증","outputs/06_analysis/source_assets/backrooms_20260630/legacy/quality_v4/hook_current.png","80467391b7f42213ea5802330e7e8508c97021961908c03b608df3f9790d86f4","current","v4에서 이관"
"legacy_v5_chase_added","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","1940.510","1969.150","","","range_frame","source_range","","B08","추격 추가 검토","outputs/06_analysis/source_assets/backrooms_20260630/legacy/v5_analysis/chase_added.png","1ed7c900348abf23b62f0734fcf64175a88e79847e9b0c8609bc789215277b60","current","v5에서 이관"
"legacy_v5_clark_microwave","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","1059.750","1101.460","","","range_frame","source_range","","B04","클라크·전자레인지","outputs/06_analysis/source_assets/backrooms_20260630/legacy/v5_analysis/clark_microwave.png","1b44ea5d23afe8d4b96a15b4d88a0be064455ae82cfcc10489646b53162acf48","current","v5에서 이관"
"legacy_v5_dark_room","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","1235.000","1250.200","","","range_frame","source_range","","B05","어두운 방","outputs/06_analysis/source_assets/backrooms_20260630/legacy/v5_analysis/dark_room.png","51376b9a408abf69252c83008f04e7b2766b86978a399762300044a002976273","current","v5에서 이관"
"legacy_v5_early_fear","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","531.300","552.900","","","range_frame","source_range","","B02","초반 공포","outputs/06_analysis/source_assets/backrooms_20260630/legacy/v5_analysis/early_fear.png","a9de7564c7fd3059e6b1b0e6a8e2ce3dfa43e77953056b03e007f2ed365c1b11","current","v5에서 이관"
"legacy_v5_empathy","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","915.150","921.300","","","range_frame","source_range","","B04","공감 반응","outputs/06_analysis/source_assets/backrooms_20260630/legacy/v5_analysis/empathy.png","5af0db3cc2ff2f63fe0dc8d991e7571941ca5a4e18b7da7bb7c4219aa27b78fa","current","v5에서 이관"
"legacy_v5_entity_shadow","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","653.750","714.600","","","range_frame","source_range","","B03","개체 그림자","outputs/06_analysis/source_assets/backrooms_20260630/legacy/v5_analysis/entity_shadow.png","d360e70f2fe91fe844944448e084d50a9fdb9cb4015764f4a7503f3cdfeb3075","current","v5에서 이관"
"legacy_v5_fall","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","1477.980","1497.420","","","range_frame","source_range","","B07","추락","outputs/06_analysis/source_assets/backrooms_20260630/legacy/v5_analysis/fall.png","7f87b4ab1aecebca75a3ec3bac9fdd049bb7aa0d6987cf35d5a76133182fca40","current","v5에서 이관"
"legacy_v5_hook_death","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","3022.900","3035.800","","","range_frame","source_range","C13","HOOK","사망 훅 후보","outputs/06_analysis/source_assets/backrooms_20260630/legacy/v5_analysis/hook_death_candidate.png","eece9e903192695bac03126d9c801579385d03da41ff98c52d163d3bc221b8d0","current","v5에서 이관"
